,Output nodes,Seed,Test MAE,KL div,Active Units
0,1.0,0.0,0.02056926744508163,2.5234944820404053,2.0
1,1.0,1.0,0.011471793383737286,2.5022411346435547,2.0
2,1.0,2.0,0.012237936521067059,2.6658589839935303,2.0
3,1.0,3.0,0.01318610269534025,2.546739101409912,2.0
4,1.0,4.0,0.015098854867395694,2.4669725894927983,2.0
5,2.0,0.0,0.016589819876084568,2.5504796504974365,2.0
6,2.0,1.0,0.017001396808156072,2.6160800457000732,2.0
7,2.0,2.0,0.014150029973452816,2.608853578567505,2.0
8,2.0,3.0,0.01810738210975517,2.578431367874145,2.0
9,2.0,4.0,0.015466292415817718,2.572318315505981,2.0
10,5.0,0.0,0.02073980643637102,2.5342371463775635,2.0
11,5.0,1.0,0.02509220970459477,2.5379366874694824,2.0
12,5.0,2.0,0.023001916698554902,2.610522985458374,2.0
13,5.0,3.0,0.02200402104580953,2.5920801162719727,2.0
14,5.0,4.0,0.023102558848984708,2.548182249069214,2.0
15,10.0,0.0,0.05238053930107665,1.96782386302948,1.0
16,10.0,1.0,0.05335863735025096,1.961690783500672,1.0
17,10.0,2.0,0.050518276809748366,2.09000015258789,1.0
18,10.0,3.0,0.05460633960696434,1.9333165884017944,1.0
19,10.0,4.0,0.0516708979070886,1.95401132106781,1.0
20,25.0,0.0,0.11012108994302608,1.5809788703918457,1.0
21,25.0,1.0,0.10411596404384764,1.6232048273086548,1.0
22,25.0,2.0,0.10154500018427774,1.5897213220596311,1.0
23,25.0,3.0,0.11049982547607964,1.6451865434646606,1.0
24,25.0,4.0,0.10673875820844864,1.603398680686951,1.0
25,50.0,0.0,0.1984008172754888,0.923652708530426,1.0
26,50.0,1.0,0.1668233929258814,1.1181689500808716,1.0
27,50.0,2.0,0.1875774126212004,1.0335429906845093,1.0
28,50.0,3.0,0.16685346234255716,1.1643975973129272,1.0
29,50.0,4.0,0.19627037039726022,0.979651153087616,1.0
